tag,model,rank,feature,modality,importance_pct
2s,GB,1,eda_EDA_tonic_max,eda,4.941
2s,GB,2,gaze_pupil_right_min,gaze,4.655
2s,GB,3,gaze_pupil_right_mean,gaze,3.551
2s,GB,4,eeg_AF7_fft_median,eeg,3.421
2s,GB,5,eeg_TP9_beta_abs_power,eeg,3.364
2s,GB,6,eeg_AF7_hjorth_mobility,eeg,2.801
2s,GB,7,eeg_TP9_beta_mean_power,eeg,2.752
2s,GB,8,eeg_TP9_higuchi_fd,eeg,2.323
2s,GB,9,gaze_pupil_left_mean,gaze,2.091
2s,GB,10,eeg_TP10_gamma_mean_power,eeg,1.969
2s,GB,11,eeg_TP9_gamma_max_power,eeg,1.93
2s,GB,12,eda_EDA_tonic_auc2,eda,1.916
2s,GB,13,eeg_AF8_fft_median,eeg,1.816
2s,GB,14,eeg_AF7_higuchi_fd,eeg,1.811
2s,GB,15,eeg_AF7_gamma_mean_power,eeg,1.54
2s,GB,16,eeg_AF8_beta_mean_power,eeg,1.496
2s,GB,17,eeg_AF7_gamma_max_power,eeg,1.494
2s,GB,18,eda_EDA_tonic_min,eda,1.478
2s,GB,19,eeg_TP9_hjorth_mobility,eeg,1.435
2s,GB,20,gaze_pupil_left_min,gaze,1.418
2s,LGBM,1,eeg_TP9_beta_abs_power,eeg,6.534
2s,LGBM,2,gaze_pupil_right_min,gaze,5.91
2s,LGBM,3,gaze_pupil_right_mean,gaze,4.688
2s,LGBM,4,eeg_TP10_gamma_abs_power,eeg,3.411
2s,LGBM,5,eeg_AF7_hjorth_mobility,eeg,2.899
2s,LGBM,6,eda_EDA_tonic_max,eda,2.782
2s,LGBM,7,eda_EDA_tonic_auc2,eda,2.561
2s,LGBM,8,eda_EDA_min,eda,2.325
2s,LGBM,9,eda_EDA_tonic_min,eda,2.315
2s,LGBM,10,eda_EDA_max,eda,1.76
2s,LGBM,11,eeg_AF7_gamma_abs_power,eeg,1.692
2s,LGBM,12,eeg_AF7_fft_median,eeg,1.605
2s,LGBM,13,gaze_saccade_peak_accel_mean,gaze,1.598
2s,LGBM,14,eeg_AF8_gamma_max_power,eeg,1.583
2s,LGBM,15,gaze_pupil_left_mean,gaze,1.575
2s,LGBM,16,gaze_saccade_peak_accel_max,gaze,1.53
2s,LGBM,17,eeg_AF7_fft_mean,eeg,1.484
2s,LGBM,18,eeg_AF7_higuchi_fd,eeg,1.468
2s,LGBM,19,gaze_pupil_left_min,gaze,1.418
2s,LGBM,20,eeg_TP10_higuchi_fd,eeg,1.354
2s,LDA,1,eda_EDA_mean,eda,44.841
2s,LDA,2,eda_EDA_tonic_mean,eda,42.662
2s,LDA,3,eda_EDA_phasic_mean,eda,12.338
2s,LDA,4,eeg_AF7_gamma_abs_power,eeg,0.014
2s,LDA,5,eeg_AF7_gamma_mean_power,eeg,0.014
2s,LDA,6,eeg_AF7_alpha_mean_power,eeg,0.008
2s,LDA,7,eeg_AF7_alpha_abs_power,eeg,0.008
2s,LDA,8,eeg_TP9_gamma_abs_power,eeg,0.008
2s,LDA,9,eeg_TP9_gamma_mean_power,eeg,0.008
2s,LDA,10,eeg_TP9_alpha_abs_power,eeg,0.007
2s,LDA,11,eeg_TP9_alpha_mean_power,eeg,0.007
2s,LDA,12,eeg_AF8_beta_abs_power,eeg,0.007
2s,LDA,13,eeg_AF8_beta_mean_power,eeg,0.007
2s,LDA,14,eeg_AF8_gamma_abs_power,eeg,0.007
2s,LDA,15,eeg_AF8_gamma_mean_power,eeg,0.007
2s,LDA,16,eeg_AF8_alpha_abs_power,eeg,0.006
2s,LDA,17,eeg_AF8_alpha_mean_power,eeg,0.006
2s,LDA,18,eeg_TP10_gamma_abs_power,eeg,0.004
2s,LDA,19,eeg_TP10_gamma_mean_power,eeg,0.004
2s,LDA,20,eeg_AF7_theta_mean_power,eeg,0.004
2s,LR,1,eeg_TP9_higuchi_fd,eeg,3.227
2s,LR,2,eeg_AF8_delta_abs_power,eeg,2.699
2s,LR,3,eeg_AF8_delta_mean_power,eeg,1.927
2s,LR,4,eeg_AF8_alpha_min_power,eeg,1.92
2s,LR,5,gaze_n_blinks,gaze,1.872
2s,LR,6,gaze_blink_mean,gaze,1.757
2s,LR,7,eeg_AF7_delta_abs_power,eeg,1.702
2s,LR,8,eeg_TP10_higuchi_fd,eeg,1.652
2s,LR,9,gaze_pupil_right_min,gaze,1.643
2s,LR,10,eeg_AF8_delta_min_power,eeg,1.63
2s,LR,11,gaze_saccade_peak_accel_min,gaze,1.463
2s,LR,12,eeg_AF7_hjorth_mobility,eeg,1.352
2s,LR,13,eeg_TP9_theta_max_power,eeg,1.335
2s,LR,14,eeg_AF7_alpha_max_power,eeg,1.334
2s,LR,15,gaze_n_fixations,gaze,1.27
2s,LR,16,eeg_AF7_higuchi_fd,eeg,1.247
2s,LR,17,eeg_AF7_beta_med_power,eeg,1.246
2s,LR,18,eeg_AF8_fft_median,eeg,1.2
2s,LR,19,eeg_AF7_fft_mean,eeg,1.169
2s,LR,20,eeg_AF7_spectral_entropy,eeg,1.149
2s,MLP,1,eda_EDA_tonic_auc2,eda,3.914
2s,MLP,2,gaze_pupil_right_mean,gaze,3.655
2s,MLP,3,gaze_n_fixations,gaze,3.127
2s,MLP,4,eeg_TP10_gamma_max_power,eeg,2.899
2s,MLP,5,eeg_AF8_fft_mean,eeg,2.714
2s,MLP,6,eeg_TP9_gamma_max_power,eeg,2.516
2s,MLP,7,eeg_AF8_hjorth_mobility,eeg,2.25
2s,MLP,8,eeg_TP9_higuchi_fd,eeg,1.971
2s,MLP,9,eeg_TP9_hjorth_mobility,eeg,1.962
2s,MLP,10,eeg_TP10_fft_mean,eeg,1.927
2s,MLP,11,eeg_AF8_fft_median,eeg,1.886
2s,MLP,12,eeg_AF7_fft_mean,eeg,1.854
2s,MLP,13,eeg_TP9_fft_mean,eeg,1.834
2s,MLP,14,gaze_pupil_left_mean,gaze,1.829
2s,MLP,15,eda_EDA_phasic_min,eda,1.758
2s,MLP,16,eeg_AF7_beta_max_power,eeg,1.691
2s,MLP,17,gaze_pupil_left_min,gaze,1.653
2s,MLP,18,eeg_AF7_beta_mean_power,eeg,1.501
2s,MLP,19,eeg_TP10_hjorth_mobility,eeg,1.467
2s,MLP,20,gaze_saccade_amplitude_max,gaze,1.431
2s,RF,1,eeg_TP9_beta_abs_power,eeg,3.143
2s,RF,2,eeg_TP9_beta_mean_power,eeg,2.638
2s,RF,3,eeg_TP9_beta_max_power,eeg,2.361
2s,RF,4,eda_EDA_tonic_max,eda,2.332
2s,RF,5,gaze_pupil_right_mean,gaze,2.291
2s,RF,6,eeg_AF7_hjorth_mobility,eeg,2.17
2s,RF,7,eeg_AF7_higuchi_fd,eeg,2.134
2s,RF,8,eda_EDA_tonic_mean,eda,2.008
2s,RF,9,eda_EDA_tonic_min,eda,2.008
2s,RF,10,eeg_AF7_gamma_abs_power,eeg,1.916
2s,RF,11,eeg_TP9_gamma_med_power,eeg,1.904
2s,RF,12,gaze_pupil_right_min,gaze,1.901
2s,RF,13,eeg_AF7_fft_median,eeg,1.745
2s,RF,14,eeg_AF7_gamma_mean_power,eeg,1.742
2s,RF,15,eeg_AF7_gamma_max_power,eeg,1.721
2s,RF,16,eeg_AF7_hjorth_complexity,eeg,1.613
2s,RF,17,eeg_AF7_fft_mean,eeg,1.543
2s,RF,18,eda_EDA_tonic_auc2,eda,1.518
2s,RF,19,eeg_TP9_alpha_max_power,eeg,1.48
2s,RF,20,eda_EDA_min,eda,1.391
2s,SVM,1,gaze_pupil_left_mean,gaze,3.997
2s,SVM,2,eeg_AF7_higuchi_fd,eeg,3.523
2s,SVM,3,eeg_AF7_fft_max,eeg,3.103
2s,SVM,4,eeg_AF8_fft_median,eeg,2.924
2s,SVM,5,gaze_pupil_right_mean,gaze,2.492
2s,SVM,6,eeg_TP9_gamma_max_power,eeg,2.336
2s,SVM,7,eeg_AF8_hjorth_mobility,eeg,2.336
2s,SVM,8,eda_EDA_phasic_min,eda,2.3
2s,SVM,9,eeg_TP9_fft_max,eeg,2.192
2s,SVM,10,eeg_AF7_fft_mean,eeg,2.112
