combo,model,train_f1,test_f1,gap_f1,train_acc,test_acc,gap_acc
ECG,GB,41.52,41.52,-0.0,71.01,71.01,-0.0
ECG,LGBM,41.52,41.52,-0.0,71.01,71.01,-0.0
ECG,LDA,41.52,41.52,-0.0,71.01,71.01,-0.0
ECG,LR,41.52,41.52,-0.0,71.01,71.01,-0.0
ECG,MLP,41.52,41.52,-0.0,71.01,71.01,-0.0
ECG,RF,41.52,41.52,-0.0,71.01,71.01,-0.0
ECG,SVM,41.52,41.52,-0.0,71.01,71.01,-0.0
ECG,XGBoost,41.52,41.52,-0.0,71.01,71.01,-0.0
EDA,GB,55.75,50.69,5.06,74.55,71.71,2.83
EDA,LGBM,54.1,48.66,5.44,74.45,71.85,2.61
EDA,LDA,41.52,41.52,-0.0,71.01,71.01,-0.0
EDA,LR,45.37,45.66,-0.29,71.21,71.17,0.04
EDA,MLP,63.65,53.29,10.36,76.04,69.15,6.88
EDA,RF,49.48,47.87,1.61,72.4,71.58,0.82
EDA,SVM,55.53,48.66,6.88,74.68,71.09,3.59
EDA,XGBoost,41.52,41.52,-0.0,71.01,71.01,-0.0
EEG,GB,73.71,68.71,5.0,81.31,78.0,3.31
EEG,LGBM,75.1,68.87,6.24,82.52,78.6,3.92
EEG,LDA,54.33,54.46,-0.13,72.38,72.4,-0.02
EEG,LR,55.66,55.14,0.52,72.81,72.39,0.42
EEG,MLP,89.81,70.06,19.75,91.96,76.5,15.46
EEG,RF,53.16,52.54,0.62,73.89,73.7,0.19
EEG,SVM,72.81,69.29,3.52,80.71,78.4,2.31
EEG,XGBoost,41.52,41.52,-0.0,71.01,71.01,-0.0
Gaze,GB,62.5,58.04,4.46,76.34,73.54,2.79
Gaze,LGBM,63.21,57.49,5.72,77.13,73.92,3.21
Gaze,LDA,47.46,47.19,0.27,71.61,71.47,0.14
Gaze,LR,46.57,45.91,0.66,71.46,71.22,0.24
Gaze,MLP,74.2,63.98,10.22,80.53,72.58,7.96
Gaze,RF,48.49,47.88,0.61,72.15,71.73,0.43
Gaze,SVM,57.25,54.34,2.91,74.82,73.27,1.55
Gaze,XGBoost,41.52,41.52,-0.0,71.01,71.01,-0.0
ECG+EDA,GB,55.75,50.69,5.07,74.55,71.7,2.85
ECG+EDA,LGBM,54.1,48.66,5.44,74.45,71.85,2.61
ECG+EDA,LDA,41.52,41.52,-0.0,71.01,71.01,-0.0
ECG+EDA,LR,45.37,45.66,-0.29,71.21,71.17,0.04
ECG+EDA,MLP,64.67,53.42,11.25,76.67,69.18,7.49
ECG+EDA,RF,48.85,47.29,1.56,72.26,71.54,0.72
ECG+EDA,SVM,55.53,48.66,6.88,74.68,71.09,3.59
ECG+EDA,XGBoost,41.52,41.52,-0.0,71.01,71.01,-0.0
ECG+EEG,GB,73.71,68.71,5.0,81.31,78.0,3.31
ECG+EEG,LGBM,75.1,68.87,6.24,82.52,78.6,3.92
ECG+EEG,LDA,54.33,54.46,-0.13,72.38,72.4,-0.02
ECG+EEG,LR,55.66,55.12,0.54,72.82,72.4,0.42
ECG+EEG,MLP,89.69,70.56,19.12,91.85,76.58,15.26
ECG+EEG,RF,52.73,51.97,0.76,73.78,73.53,0.25
ECG+EEG,SVM,72.81,69.29,3.52,80.71,78.4,2.31
ECG+EEG,XGBoost,41.52,41.52,-0.0,71.01,71.01,-0.0
ECG+Gaze,GB,62.5,58.04,4.46,76.34,73.54,2.79
ECG+Gaze,LGBM,63.21,57.49,5.72,77.13,73.92,3.21
ECG+Gaze,LDA,47.46,47.19,0.27,71.61,71.47,0.14
ECG+Gaze,LR,46.57,45.91,0.66,71.46,71.22,0.24
ECG+Gaze,MLP,72.3,62.43,9.87,79.66,72.35,7.31
ECG+Gaze,RF,46.99,46.26,0.73,71.9,71.49,0.41
ECG+Gaze,SVM,57.25,54.34,2.91,74.82,73.27,1.55
ECG+Gaze,XGBoost,41.52,41.52,-0.0,71.01,71.01,-0.0
EDA+EEG,GB,76.79,72.16,4.63,83.01,79.73,3.28
EDA+EEG,LGBM,80.16,73.29,6.87,85.45,80.88,4.57
EDA+EEG,LDA,41.55,41.51,0.03,71.01,70.98,0.03
EDA+EEG,LR,58.38,58.48,-0.09,73.48,73.45,0.02
EDA+EEG,MLP,95.69,75.49,20.2,96.44,79.89,16.55
EDA+EEG,RF,54.31,52.94,1.37,74.31,73.77,0.54
EDA+EEG,SVM,81.37,75.12,6.26,85.95,81.37,4.58
EDA+EEG,XGBoost,41.52,41.52,-0.0,71.01,71.01,-0.0
EDA+Gaze,GB,70.29,65.78,4.51,79.67,76.6,3.07
EDA+Gaze,LGBM,73.5,66.59,6.91,81.77,77.35,4.42
EDA+Gaze,LDA,41.52,41.52,-0.0,71.01,71.01,-0.0
EDA+Gaze,LR,50.44,50.62,-0.18,71.8,71.74,0.06
EDA+Gaze,MLP,85.29,67.1,18.19,88.41,73.97,14.44
EDA+Gaze,RF,52.31,50.64,1.67,73.27,72.31,0.96
EDA+Gaze,SVM,75.46,65.15,10.31,82.94,76.08,6.86
EDA+Gaze,XGBoost,41.52,41.52,-0.0,71.01,71.01,-0.0
EEG+Gaze,GB,75.8,71.08,4.72,82.42,79.08,3.34
EEG+Gaze,LGBM,78.47,71.94,6.53,84.37,79.9,4.47
EEG+Gaze,LDA,59.31,58.66,0.65,73.61,73.24,0.37
EEG+Gaze,LR,59.85,59.74,0.11,73.72,73.52,0.2
EEG+Gaze,MLP,92.77,73.7,19.07,93.98,78.15,15.83
EEG+Gaze,RF,52.51,51.87,0.64,73.63,73.33,0.3
EEG+Gaze,SVM,78.54,73.5,5.04,84.09,80.46,3.63
EEG+Gaze,XGBoost,41.52,41.52,-0.0,71.01,71.01,-0.0
ECG+EDA+EEG,GB,76.79,72.14,4.65,83.01,79.71,3.3
ECG+EDA+EEG,LGBM,80.16,73.29,6.87,85.45,80.88,4.57
ECG+EDA+EEG,LDA,41.55,41.51,0.03,71.01,70.98,0.03
ECG+EDA+EEG,LR,58.35,58.35,-0.01,73.45,73.42,0.02
ECG+EDA+EEG,MLP,95.36,75.07,20.29,96.16,79.12,17.05
ECG+EDA+EEG,RF,53.51,52.49,1.02,74.09,73.68,0.41
ECG+EDA+EEG,SVM,81.37,75.12,6.26,85.95,81.37,4.58
ECG+EDA+EEG,XGBoost,41.52,41.52,-0.0,71.01,71.01,-0.0
ECG+EDA+Gaze,GB,70.29,65.75,4.54,79.67,76.58,3.08
ECG+EDA+Gaze,LGBM,73.5,66.59,6.91,81.77,77.35,4.42
ECG+EDA+Gaze,LDA,41.52,41.52,-0.0,71.01,71.01,-0.0
ECG+EDA+Gaze,LR,50.44,50.62,-0.18,71.8,71.74,0.06
ECG+EDA+Gaze,MLP,84.06,67.73,16.33,87.53,74.59,12.94
ECG+EDA+Gaze,RF,51.32,49.78,1.54,73.08,72.31,0.77
ECG+EDA+Gaze,SVM,75.46,65.15,10.31,82.94,76.08,6.86
ECG+EDA+Gaze,XGBoost,41.52,41.52,-0.0,71.01,71.01,-0.0
ECG+EEG+Gaze,GB,75.8,71.08,4.72,82.42,79.08,3.34
ECG+EEG+Gaze,LGBM,78.47,71.94,6.53,84.37,79.9,4.47
ECG+EEG+Gaze,LDA,59.31,58.69,0.62,73.61,73.25,0.36
ECG+EEG+Gaze,LR,59.85,59.73,0.12,73.68,73.5,0.18
