,,Accuracy,F1_weighted,F1_macro
ECG,GB,73.97,70.85,61.8
ECG,LGBM,73.25,69.65,59.97
ECG,LDA,72.8,67.02,55.25
ECG,LR,72.87,66.57,54.36
ECG,MLP,69.26,68.01,59.85
ECG,RF,73.39,66.17,53.31
ECG,SVM,73.11,67.81,56.54
ECG,XGBoost,71.0,58.97,41.52
ECG,Transformer,70.43,67.82,58.51
ECG,CNN,71.0,58.97,41.52
EDA,GB,70.31,64.24,51.61
EDA,LGBM,71.1,63.86,50.39
EDA,LDA,70.81,61.37,46.0
EDA,LR,70.89,61.27,45.77
EDA,MLP,64.58,63.62,54.81
EDA,RF,71.08,61.76,46.56
EDA,SVM,70.53,63.99,50.99
EDA,XGBoost,71.0,58.97,41.52
EDA,Transformer,69.14,64.89,53.64
EDA,CNN,71.08,59.41,42.28
EEG,GB,77.03,75.01,67.75
EEG,LGBM,76.74,74.23,66.41
EEG,LDA,73.58,70.99,62.35
EEG,LR,73.27,70.01,60.65
EEG,MLP,74.49,73.92,67.73
EEG,RF,75.0,69.21,57.98
EEG,SVM,77.17,75.28,68.19
EEG,XGBoost,71.0,58.97,41.52
EEG,Transformer,74.4,73.96,67.92
EEG,CNN,71.03,59.02,41.61
Gaze,GB,73.61,70.3,60.98
Gaze,LGBM,74.11,70.16,60.36
Gaze,LDA,71.46,62.19,47.11
Gaze,LR,71.41,61.95,46.7
Gaze,MLP,69.72,69.35,62.39
Gaze,RF,71.82,63.02,48.43
Gaze,SVM,73.34,67.76,56.3
Gaze,XGBoost,71.0,58.97,41.52
Gaze,Transformer,70.17,68.91,60.96
Gaze,CNN,71.0,58.97,41.52
ECG+EDA,GB,75.21,72.86,64.86
ECG+EDA,LGBM,75.42,72.52,64.0
ECG+EDA,LDA,73.04,68.19,57.32
ECG+EDA,LR,72.89,68.03,57.11
ECG+EDA,MLP,70.72,70.3,63.5
ECG+EDA,RF,73.9,67.37,55.23
ECG+EDA,SVM,73.44,71.43,63.36
ECG+EDA,XGBoost,71.0,58.97,41.52
ECG+EDA,Transformer,71.72,70.41,62.78
ECG+EDA,CNN,71.1,60.7,44.59
ECG+EEG,GB,77.29,75.72,68.98
ECG+EEG,LGBM,77.17,74.87,67.36
ECG+EEG,LDA,74.2,72.09,64.09
ECG+EEG,LR,73.61,71.11,62.58
ECG+EEG,MLP,74.39,74.14,68.33
ECG+EEG,RF,75.64,70.33,59.67
ECG+EEG,SVM,77.65,76.31,69.9
ECG+EEG,XGBoost,71.0,58.97,41.52
ECG+EEG,Transformer,74.66,73.46,66.55
ECG+EEG,CNN,71.0,58.97,41.52
ECG+Gaze,GB,75.16,73.03,65.22
ECG+Gaze,LGBM,75.92,73.23,65.04
ECG+Gaze,LDA,73.32,69.18,59.0
ECG+Gaze,LR,73.13,68.52,57.86
ECG+Gaze,MLP,71.91,71.63,65.26
ECG+Gaze,RF,74.4,68.92,57.8
ECG+Gaze,SVM,74.4,71.54,62.83
ECG+Gaze,XGBoost,71.0,58.97,41.52
ECG+Gaze,Transformer,71.6,70.54,63.14
ECG+Gaze,CNN,71.0,58.97,41.52
EDA+EEG,GB,78.08,76.54,70.0
EDA+EEG,LGBM,79.05,77.16,70.48
EDA+EEG,LDA,74.16,71.65,63.27
EDA+EEG,LR,73.66,70.94,62.19
EDA+EEG,MLP,76.31,76.06,70.66
EDA+EEG,RF,75.28,69.54,58.41
EDA+EEG,SVM,78.05,76.89,70.77
EDA+EEG,XGBoost,71.0,58.97,41.52
EDA+EEG,Transformer,75.04,74.52,68.49
EDA+EEG,CNN,71.0,59.18,41.91
EDA+Gaze,GB,75.83,73.54,65.73
EDA+Gaze,LGBM,76.17,72.95,64.32
EDA+Gaze,LDA,71.17,64.18,50.97
EDA+Gaze,LR,71.48,65.01,52.3
EDA+Gaze,MLP,71.79,71.2,64.39
EDA+Gaze,RF,71.91,63.41,49.09
EDA+Gaze,SVM,74.33,72.11,64.05
EDA+Gaze,XGBoost,71.0,58.97,41.52
EDA+Gaze,Transformer,72.32,71.0,63.48
EDA+Gaze,CNN,70.96,59.93,43.29
EEG+Gaze,GB,78.46,76.99,70.62
EEG+Gaze,LGBM,78.79,77.0,70.36
EEG+Gaze,LDA,74.83,72.72,64.88
EEG+Gaze,LR,74.13,71.79,63.55
EEG+Gaze,MLP,76.74,76.26,70.66
EEG+Gaze,RF,74.64,68.89,57.6
EEG+Gaze,SVM,78.41,77.19,71.06
EEG+Gaze,XGBoost,71.0,58.97,41.52
EEG+Gaze,Transformer,75.78,75.14,69.12
EEG+Gaze,CNN,71.0,58.97,41.52
ECG+EDA+EEG,GB,78.96,77.67,71.61
ECG+EDA+EEG,LGBM,79.34,77.58,71.1
ECG+EDA+EEG,LDA,74.88,72.88,65.16
ECG+EDA+EEG,LR,74.78,72.79,65.04
ECG+EDA+EEG,MLP,76.16,75.88,70.41
ECG+EDA+EEG,RF,75.3,69.69,58.68
ECG+EDA+EEG,SVM,77.88,77.02,71.18
ECG+EDA+EEG,XGBoost,71.0,58.97,41.52
ECG+EDA+EEG,Transformer,75.04,73.93,67.2
