,,Accuracy,F1_weighted,F1_macro
ECG,GB,65.57,59.19,43.28
ECG,LGBM,66.71,59.03,42.14
ECG,LDA,64.79,56.99,41.71
ECG,LR,66.44,58.03,41.38
ECG,MLP,58.16,56.48,43.67
ECG,RF,69.24,59.17,40.6
ECG,SVM,68.32,60.61,42.42
ECG,XGBoost,69.86,59.18,40.27
ECG,Transformer,61.91,56.23,42.02
ECG,CNN,69.86,59.18,40.27
EDA,GB,66.32,61.34,47.13
EDA,LGBM,67.72,60.84,46.0
EDA,LDA,69.67,61.31,45.92
EDA,LR,69.44,61.08,45.84
EDA,MLP,60.43,60.75,48.16
EDA,RF,68.64,60.24,44.17
EDA,SVM,67.71,61.89,46.94
EDA,XGBoost,69.86,59.18,40.27
EDA,Transformer,64.65,61.64,48.0
EDA,CNN,69.86,59.18,40.27
EEG,GB,64.39,60.13,45.63
EEG,LGBM,66.74,59.52,43.1
EEG,LDA,63.46,58.71,44.07
EEG,LR,63.16,58.5,43.82
EEG,MLP,60.37,58.86,45.98
EEG,RF,69.51,59.18,40.48
EEG,SVM,65.22,61.85,47.01
EEG,XGBoost,69.86,59.18,40.27
EEG,Transformer,62.33,61.18,47.59
EEG,CNN,69.86,59.23,40.31
Gaze,GB,60.26,55.66,42.82
Gaze,LGBM,62.77,56.91,42.81
Gaze,LDA,65.25,55.64,39.08
Gaze,LR,65.83,56.5,39.69
Gaze,MLP,55.04,55.72,44.74
Gaze,RF,67.77,57.86,39.99
Gaze,SVM,66.96,59.85,42.95
Gaze,XGBoost,69.86,59.18,40.27
Gaze,Transformer,59.05,57.53,45.49
Gaze,CNN,69.86,59.18,40.27
ECG+EDA,GB,67.68,62.57,47.96
ECG+EDA,LGBM,67.39,60.7,44.55
ECG+EDA,LDA,65.32,58.67,44.53
ECG+EDA,LR,65.43,59.28,45.3
ECG+EDA,MLP,63.6,62.8,49.39
ECG+EDA,RF,68.95,59.71,43.05
ECG+EDA,SVM,65.38,62.22,47.78
ECG+EDA,XGBoost,69.86,59.18,40.27
ECG+EDA,Transformer,64.45,61.5,48.12
ECG+EDA,CNN,69.74,60.81,44.12
ECG+EEG,GB,65.11,59.58,44.24
ECG+EEG,LGBM,66.14,58.38,41.89
ECG+EEG,LDA,62.53,57.57,43.92
ECG+EEG,LR,62.3,57.83,43.58
ECG+EEG,MLP,61.38,59.16,46.86
ECG+EEG,RF,69.28,59.05,40.56
ECG+EEG,SVM,63.89,59.34,44.59
ECG+EEG,XGBoost,69.86,59.18,40.27
ECG+EEG,Transformer,61.77,58.67,44.89
ECG+EEG,CNN,69.86,59.18,40.27
ECG+Gaze,GB,66.04,60.69,45.01
ECG+Gaze,LGBM,67.69,59.48,42.97
ECG+Gaze,LDA,57.89,52.18,39.31
ECG+Gaze,LR,59.49,53.64,39.87
ECG+Gaze,MLP,57.66,58.19,46.49
ECG+Gaze,RF,69.76,59.18,40.3
ECG+Gaze,SVM,64.38,60.06,45.15
ECG+Gaze,XGBoost,69.86,59.18,40.27
ECG+Gaze,Transformer,61.69,59.81,46.83
ECG+Gaze,CNN,69.86,59.18,40.27
EDA+EEG,GB,65.78,61.83,47.71
EDA+EEG,LGBM,67.18,60.55,45.73
EDA+EEG,LDA,65.47,60.77,46.8
EDA+EEG,LR,63.75,60.17,46.95
EDA+EEG,MLP,62.52,61.05,48.94
EDA+EEG,RF,69.33,59.46,41.84
EDA+EEG,SVM,66.2,63.69,51.0
EDA+EEG,XGBoost,69.86,59.18,40.27
EDA+EEG,Transformer,63.49,62.12,48.98
EDA+EEG,CNN,69.71,59.51,42.04
EDA+Gaze,GB,61.65,58.18,46.24
EDA+Gaze,LGBM,63.55,58.1,44.51
EDA+Gaze,LDA,63.38,55.63,42.04
EDA+Gaze,LR,61.79,55.33,42.3
EDA+Gaze,MLP,58.16,58.08,47.03
EDA+Gaze,RF,67.82,59.17,43.96
EDA+Gaze,SVM,63.44,60.51,47.49
EDA+Gaze,XGBoost,69.86,59.18,40.27
EDA+Gaze,Transformer,61.16,60.41,48.78
EDA+Gaze,CNN,69.42,59.68,43.15
EEG+Gaze,GB,61.15,57.3,44.64
EEG+Gaze,LGBM,66.39,58.34,41.89
EEG+Gaze,LDA,62.14,57.62,43.94
EEG+Gaze,LR,61.98,57.33,43.84
EEG+Gaze,MLP,60.13,58.24,45.69
EEG+Gaze,RF,69.78,59.28,40.5
EEG+Gaze,SVM,62.07,59.98,46.41
EEG+Gaze,XGBoost,69.86,59.18,40.27
EEG+Gaze,Transformer,61.54,59.18,45.38
EEG+Gaze,CNN,69.39,58.95,40.1
ECG+EDA+EEG,GB,65.41,60.61,46.63
ECG+EDA+EEG,LGBM,66.44,58.83,43.84
ECG+EDA+EEG,LDA,64.92,60.49,47.98
ECG+EDA+EEG,LR,64.26,60.09,47.04
ECG+EDA+EEG,MLP,63.87,61.85,49.53
ECG+EDA+EEG,RF,69.26,59.0,40.42
ECG+EDA+EEG,SVM,65.87,62.4,49.73
ECG+EDA+EEG,XGBoost,69.86,59.18,40.27
ECG+EDA+EEG,Transformer,64.11,62.22,48.63
ECG+EDA+EEG,CNN,69.82,60.14,42.17
ECG+EDA+Gaze,GB,65.06,60.31,47.05
ECG+EDA+Gaze,LGBM,67.52,59.72,44.21
ECG+EDA+Gaze,LDA,59.8,54.41,42.2
ECG+EDA+Gaze,LR,60.66,56.11,43.9
ECG+EDA+Gaze,MLP,58.98,58.48,46.87
ECG+EDA+Gaze,RF,69.17,59.42,43.06
ECG+EDA+Gaze,SVM,62.52,60.43,47.7
ECG+EDA+Gaze,XGBoost,69.86,59.18,40.27
ECG+EDA+Gaze,Transformer,58.75,57.47,46.19
ECG+EDA+Gaze,CNN,69.73,60.21,44.68
ECG+EEG+Gaze,GB,63.17,57.72,44.05
ECG+EEG+Gaze,LGBM,65.79,57.75,41.87
ECG+EEG+Gaze,LDA,62.68,58.09,45.06
ECG+EEG+Gaze,LR,62.94,58.27,45.26
ECG+EEG+Gaze,MLP,58.95,56.39,44.24
ECG+EEG+Gaze,RF,69.65,59.12,40.3
ECG+EEG+Gaze,SVM,62.6,59.21,45.0
ECG+EEG+Gaze,XGBoost,69.86,59.18,40.27
ECG+EEG+Gaze,Transformer,60.83,58.09,44.92
ECG+EEG+Gaze,CNN,69.86,59.18,40.27
EDA+EEG+Gaze,GB,62.47,58.2,46.77
EDA+EEG+Gaze,LGBM,66.21,58.83,44.03
EDA+EEG+Gaze,LDA,62.98,58.59,45.17
EDA+EEG+Gaze,LR,60.82,56.81,44.64
EDA+EEG+Gaze,MLP,61.07,59.28,48.32
EDA+EEG+Gaze,RF,69.41,59.14,40.8
EDA+EEG+Gaze,SVM,63.22,61.07,49.03
EDA+EEG+Gaze,XGBoost,69.86,59.18,40.27
EDA+EEG+Gaze,Transformer,63.15,61.08,49.19
EDA+EEG+Gaze,CNN,69.42,59.76,43.54
All,GB,65.85,60.98,48.58
All,LGBM,66.22,58.33,43.62
All,LDA,64.49,60.18,47.59
All,LR,63.38,59.05,47.55
All,MLP,61.85,59.75,48.91
All,RF,69.56,59.07,40.27
All,SVM,64.19,61.2,48.93
All,XGBoost,69.86,59.18,40.27
All,Transformer,65.24,62.77,49.84
All,CNN,70.03,60.22,43.2
