,,Accuracy,F1_weighted,F1_macro,Train_Accuracy,Train_F1_weighted,Train_F1_macro
ECG,GB,69.86,59.18,40.27,71.09,59.08,41.55
ECG,LGBM,69.86,59.18,40.27,71.09,59.08,41.55
ECG,LDA,69.86,59.18,40.27,71.09,59.08,41.55
ECG,LR,69.86,59.18,40.27,71.09,59.08,41.55
ECG,MLP,69.86,59.18,40.27,71.09,59.08,41.55
ECG,RF,69.86,59.18,40.27,71.09,59.08,41.55
ECG,SVM,69.86,59.18,40.27,71.09,59.08,41.55
ECG,XGBoost,69.86,59.18,40.27,71.09,59.08,41.55
ECG,Transformer,69.86,59.18,40.27,71.09,59.08,41.55
ECG,CNN,62.85,54.6,39.28,73.76,68.98,58.26
EDA,GB,68.08,61.01,46.15,74.26,67.5,55.13
EDA,LGBM,68.58,60.33,44.69,74.18,66.45,53.24
EDA,LDA,70.08,59.76,40.94,71.1,59.46,42.24
EDA,LR,69.56,60.69,44.89,71.24,61.22,45.33
EDA,MLP,64.66,61.72,47.61,76.17,73.19,64.69
EDA,RF,69.06,60.4,44.73,72.26,63.22,48.39
EDA,SVM,68.54,61.21,45.8,74.61,67.67,55.23
EDA,XGBoost,69.86,59.18,40.27,71.09,59.08,41.55
EDA,Transformer,67.83,61.69,45.92,74.89,69.58,58.66
EDA,CNN,69.71,59.32,41.15,71.11,59.48,42.25
